"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"2","Abies alba","boreal","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"3","Abies amabilis","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"4","Abies balsamea","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"5","Abies concolor","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"6","Abies fargesii","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"8","Abies lasiocarpa","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"9","Abies magnifica","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"10","Abies nephrolepis","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"11","Abies nordmanniana","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"12","Abies procera","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"13","Abies sachalinensis","temperate","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"14","Abies spectabilis","tropical","ECM",0,"gymnosperm","evergreen","10.1007/978-3-319-56363-3_19"
"15","Abuta grandifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"18","Acacia albida","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"19","Acacia aneura","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"21","Acacia ataxacantha","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"22","Acacia auriculiformis","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"23","Acacia bonariensis","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"24","Acacia borleae","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"25","Acacia brevispica","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"26","Acacia burkei","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"27","Acacia caffra","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"29","Acacia colletioides","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"30","Acacia collinsii","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"31","Acacia coriacea","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"34","Acacia davyi","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"35","Acacia dealbata","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"36","Acacia dimidiata","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"37","Acacia doratoxylon","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"38","Acacia erioloba","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"39","Acacia erubescens","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"40","Acacia exuvialis","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"41","Acacia falcata","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"42","Acacia farnesiana","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"43","Acacia fleckii","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"44","Acacia floribunda","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"45","Acacia gaumeri","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"46","Acacia gerrardii","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"47","Acacia grandicornuta","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"49","Acacia haematoxylon","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"50","Acacia havilandiorum","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"51","Acacia hebeclada","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"52","Acacia holosericea","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"55","Acacia karroo","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"56","Acacia leucophloea","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"57","Acacia longifolia","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"58","Acacia luederitzii","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"60","Acacia mangium","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"62","Acacia melanoxylon","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"63","Acacia mellifera","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"64","Acacia mimula","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"65","Acacia myrtifolia","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"66","Acacia nigrescens","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"67","Acacia nilotica","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"68","Acacia olgana","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"69","Acacia oswaldii","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"70","Acacia pennata","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"71","Acacia riparia","tropical","AM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"72","Acacia robusta","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"75","Acacia senegal","tropical","AM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"78","Acacia suaveolens","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"79","Acacia suma","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"81","Acacia tortilis","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"83","Acacia wilhelmiana","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"84","Acalypha caturus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"85","Acalypha cuneata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"86","Acalypha skutchii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"88","Acanthus ilicifolius","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"89","Acer barbinerve","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"90","Acer buergerianum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"91","Acer campbellii","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"92","Acer campestre","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"93","Acer caudatum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"96","Acer davidii","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"99","Acer ginnala","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"100","Acer grosseri","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"101","Acer lucidum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"102","Acer macrophyllum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"103","Acer mandshuricum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"104","Acer mono","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"105","Acer monspessulanum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"106","Acer negundo","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"107","Acer oblongum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"109","Acer opalus","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"110","Acer palmatum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"111","Acer pensylvanicum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"112","Acer pictum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"113","Acer platanoides","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"114","Acer pseudoplatanus","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"115","Acer pseudosieboldianum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"116","Acer rubrum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"117","Acer rufinerve","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"118","Acer saccharinum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"119","Acer saccharum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"120","Acer sinense","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"122","Acer tataricum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"123","Acer tegmentosum","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"124","Acer truncatum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"125","Acer tschonoskii","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"126","Acer ukurunduense","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"127","Acidoton nicaraguensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"129","Acosmium dasycarpum","tropical","AM",1,"angiosperm","evergreen","Carneiro MAC, Siqueria JO, Moreira FMS, de Carvalho D, Botelho SA & Junior OJS. 1998. Occurrence of the arbuscular mycorrhiza in native woody species in southeastern Brazil. CERNE. 4(1): 129-144."
"130","Acronychia pedunculata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"134","Actinodaphne henryi","tropical","AM",0,"angiosperm","evergreen","10.1007/s005720100117"
"135","Adansonia digitata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"136","Adelia triloba","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"138","Adenanthera pavonina","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.12221"
"140","Adenostoma fasciculatum","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"141","Adina cordifolia","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"143","Adinandra hainanensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"144","Adinandra megaphylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"145","Adinandra millettii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"146","Adina pilulifera","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"147","Aegiceras corniculatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"148","Aegiphila cordifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"149","Aegiphila costaricensis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"151","Aegiphila integrifolia","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"152","Aegiphila lhotzkiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"153","Aegle marmelos","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"154","Aesculus californica","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"156","Aesculus hippocastanum","boreal","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"157","Aesculus indica","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"158","Aesculus lantsangensis","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"159","Aesculus parviflora","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"160","Aextoxicon punctatum","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"161","Agathis australis","temperate","AM",0,"gymnosperm","evergreen","10.1111/1365-2745.12562"
"162","Aglaia rohitika","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"164","Ailanthus altissima","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"165","Ailanthus fordii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"166","Aiphanes ulei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"167","Akebia quinata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"168","Akebia trifoliata","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"169","Alangium chinense","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"171","Albizia adianthifolia","temperate","AM",1,"angiosperm","evergreen","10.2307/2261560"
"172","Albizia guachapele","tropical","AM",1,"angiosperm","deciduous","10.1080/00380768.2017.1417694"
"173","Albizia julibrissin","temperate","AM",1,"angiosperm","deciduous","10.1111/nph.12221"
"175","Albizia procera","tropical","AM",1,"angiosperm","deciduous","10.1111/nph.12221"
"177","Alchornea costaricensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"178","Alchornea glandulosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"180","Alchornea latifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"181","Alchornea rugosa","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"182","Alchornea schomburgkii","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"183","Alchornea trewioides","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"184","Alchornea triplinervia","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"185","Alchorneopsis floribunda","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"187","Aldina heterophylla","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"189","Alectryon excelsus","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"192","Alhagi pseudalhagi","temperate","AM",1,"angiosperm","deciduous","10.1890/11-1749.1"
"194","Alibertia edulis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"196","Alibertia verrucosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"197","Allagoptera arenaria","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"198","Allocasuarina decaisneana","tropical","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"200","Allocasuarina pusilla","temperate","ECM",1,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"201","Allophylus amazonicus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"202","Allophylus camptostachys","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"203","Allophylus cobbe","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"204","Allophylus divaricatus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"205","Allophylus pilosus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"206","Allophylus varians","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"207","Alniphyllum fortunei","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"209","Alnus cremastogyne","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"210","Alnus crispa","boreal","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"211","Alnus formosana","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"212","Alnus glutinosa","boreal","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"213","Alnus hirsuta","temperate","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"214","Alnus incana","boreal","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"216","Alnus maximowiczii","temperate","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"217","Alnus nepalensis","tropical","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"218","Alnus rhombifolia","temperate","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"219","Alnus rubra","temperate","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"220","Alnus rugosa","temperate","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"222","Alnus sibirica","temperate","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"223","Alnus sinuata","temperate","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"224","Alnus viridis","boreal","ECM",1,"angiosperm","deciduous","10.1007/978-3-319-56363-3_19"
"226","Alphonsea mollis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"227","Alphonsea monogyna","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"228","Alseis blackiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"230","Alseodaphne hainanensis","tropical","AM",0,"angiosperm","evergreen","10.1007/s00442-013-2778-5"
"231","Alstonia actinophylla","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"232","Alstonia boonei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"233","Alstonia muelleriana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"234","Alstonia scholaris","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"235","Altingia gracilipes","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"236","Altingia obovata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"238","Alyxia sinensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"239","Amaioua corymbosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"240","Amaioua guianensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"241","Ambelania acida","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"242","Ambrosia dumosa","temperate","AM",0,"angiosperm","evergreen","Titus JH, Titus PJ, Nowak RS & Smith SD. 2002. Arbuscular mycorrhizae of Mojave Desert plants. Western North American Naturalist. 62(3): Article 8"
"243","Amelanchier alnifolia","temperate","AM",0,"angiosperm","deciduous","10.1890/11-1749.1"
"247","Amesiodendron chinense","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"248","Ammopiptanthus mongolicus","temperate","AM",1,"angiosperm","evergreen","10.5846/stxb201305121025"
"249","Amomyrtus luma","temperate","AM",0,"angiosperm","evergreen","10.1007/s004420050"
"250","Amorpha canescens","temperate","AM",1,"angiosperm","deciduous","10.1139/B01-138"
"251","Amorpha fruticosa","temperate","AM",1,"angiosperm","deciduous","10.1890/11-1749.1"
"253","Ampelocera edentula","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"255","Ampelocera ruizii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"259","Amphirrhox latifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"260","Amphirrhox longifolia","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"261","Amphirrhox surinamensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"262","Amphitecna tuxtlensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"263","Anacardium excelsum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"264","Anacardium occidentale","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"266","Anagyris foetida","temperate","AM",1,"angiosperm","deciduous","Quatrini P, Cardinale M, Caruso E, & Sorrentino I. 2006. Mediterranean woody legumes to recover a municipal landfill site. Italus Hortus 11: 79-83."
"267","Anaxagorea brevipes","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"268","Andira inermis","tropical","AM",1,"angiosperm","evergreen","10.1111/nph.12221"
"269","Angophora hispida","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"270","Anneslea fragrans","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"271","Annona ambotay","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"272","Annona coriacea","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"273","Annona duckei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"274","Annona pruinosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"275","Annona reticulata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"276","Annona spraguei","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"277","Annona squamosa","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"278","Anogeissus latifolia","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"280","Anopterus glandulosus","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"282","Anthodiscus amazonicus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"283","Anthonotha fragrans","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"284","Anthonotha graciliflora","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"285","Anthonotha macrophylla","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"286","Antiaris africana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"287","Antiaris toxicaria","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"288","Antirhea trichantha","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"289","Antonia ovata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"290","Aparisthmium cordatum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"291","Apeiba aspera","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"293","Apeiba membranacea","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"295","Apeiba tibourbou","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"296","Aphanamixis polystachya","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"297","Aphananthe aspera","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"298","Aphelandra scabra","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"299","Apodytes brachystylis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"300","Apodytes dimidiata","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"301","Apoplanesia paniculata","tropical","AM",1,"angiosperm","deciduous","10.1016/j.pedobi.2014.01.002"
"304","Apuleia leiocarpa","tropical","AM",0,"angiosperm","evergreen","10.1590/18069657rbcs20160174 "
"306","Aralia chinensis","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"307","Aralia elata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"308","Araucaria angustifolia","tropical","AM",0,"gymnosperm","evergreen","10.1111/nph.12221"
"310","Arbutus andrachne","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"311","Arbutus arizonica","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"312","Arbutus canariensis","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"313","Arbutus menziesii","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"314","Arbutus unedo","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"315","Arbutus xalapensis","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"316","Archidendron clypearia","tropical","AM",1,"angiosperm","evergreen","10.1111/nph.12842"
"317","Arctostaphylos alpina","boreal","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"318","Arctostaphylos crustacea","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"319","Arctostaphylos glandulosa","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"320","Arctostaphylos glauca","tropical","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"323","Arctostaphylos patula","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"326","Arctostaphylos tomentosa","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"327","Arctostaphylos uva-ursi","boreal","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"328","Arctostaphylos viscida","temperate","ECM",0,"angiosperm","evergreen","10.1007/978-3-319-56363-3_19"
"329","Ardisia crenata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"330","Ardisia divergens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"333","Ardisia hanceana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"334","Ardisia japonica","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"335","Ardisia lindleyana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"336","Ardisia polysticta","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"337","Ardisia punctata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"338","Ardisia pusilla","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"339","Ardisia quinquegona","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"340","Ardisia semibulada","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"341","Ardisia thyrsiflora","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"343","Aristotelia fruticosa","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"345","Aristotelia serrata","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"347","Artemisia frigida","temperate","AM",0,"angiosperm","deciduous","10.1890/11-1749.1"
"348","Artemisia herba-alba","temperate","AM",0,"angiosperm","evergreen","10.1080/153249802317304440"
"349","Artemisia maritima","boreal","AM",0,"angiosperm","evergreen","10.1890/11-1749.1"
"350","Artemisia tridentata","temperate","AM",0,"angiosperm","evergreen","10.1007/s00572-005-0033-6 2006"
"351","Artocarpus altilis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"352","Artocarpus heterophyllus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"354","Artocarpus lakoocha","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"355","Artocarpus nitidus","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"357","Artocarpus tonkinensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"358","Ascarina lucida","temperate","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"359","Asimina triloba","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"360","Aspidosperma album","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"361","Aspidosperma blancimpreso","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"362","Aspidosperma cruentum","tropical","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
