"","species","latitudinal_zone","mycorrhizal_association","nitrogen_fixation_status","plant_growth_form","leaf_habit","mycorrhizal_reference"
"1538","Ficus variegata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1540","Ficus virens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1542","Ficus yoponensis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1543","Firmiana simplex","temperate","AM",0,"angiosperm","deciduous","10.1111/nph.15440"
"1544","Fissistigma glaucescens","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1545","Fissistigma oldhamii","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1546","Fissistigma polyanthoides","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1547","Fissistigma polyanthum","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1548","Fitzroya cupressoides","temperate","AM",0,"gymnosperm","evergreen","10.1007/s004420050"
"1549","Flindersia bourjotiana","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1552","Forsteronia mollis","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
"1553","Forsteronia spicata","tropical","AM",0,"angiosperm","evergreen","10.1111/nph.15440"
